texto,label
"Chocolate cura câncer em apenas 3 dias, dizem especialistas",fake
"Universidade divulga novo calendário acadêmico",real
"Governo implantará chips secretos em vacinas até o próximo ano",fake
"Banco Central anuncia redução da taxa de juros",real
"Aliens foram encontrados escondidos na Lua pela NASA",fake
"Prefeitura inicia campanha de vacinação infantil",real
"Beber água com limão elimina todas as doenças do corpo",fake
"Governo lança programa nacional de educação tecnológica",real
"Terra ficará totalmente sem internet amanhã por decisão mundial",fake
"Pesquisadores desenvolvem novo estudo sobre energia solar",real
"Cientistas comprovam que dormir apenas 2 horas aumenta inteligência",fake
"Hospital inaugura nova ala de atendimento emergencial",real
"Aplicativo consegue ler pensamentos através do celular",fake
"Instituto meteorológico prevê chuva intensa no fim de semana",real
"Novo vírus transforma pessoas em pedra em 24 horas",fake
"Nova pesquisa aponta crescimento do mercado de tecnologia",real
"Pirâmides do Egito foram construídas por viajantes do tempo",fake
"Ministério da Saúde divulga relatório epidemiológico",real
"Comer apenas pizza durante um mês melhora o coração",fake
"Escolas públicas receberão novos computadores este ano",real
"Empresa cria máquina capaz de prever a data da morte",fake
"Universidade anuncia abertura de bolsas de pesquisa",real
"Vacina altera permanentemente o DNA humano",fake
"IBGE publica novos dados demográficos",real
"Asteroide destruirá o planeta na próxima sexta-feira",fake
"Câmara aprova projeto de incentivo à inovação",real
"Celebridade afirma ter descoberto fórmula da juventude eterna",fake
"Empresa lança novo sistema operacional para computadores",real
"Governo esconderá apagão mundial programado para dezembro",fake
"Cidade amplia rede de transporte público",real
"Tomar refrigerante diariamente aumenta expectativa de vida",fake
"Pesquisadores estudam impactos das mudanças climáticas",real
"Pesquisadores encontram cidade perdida dentro do oceano Atlântico",fake
"Novo satélite brasileiro entra em operação",real
"Lua desaparecerá do céu por duas semanas",fake
"Secretaria de Saúde amplia horário de atendimento",real
"Banana cura diabetes instantaneamente",fake
"Museu inaugura exposição histórica aberta ao público",real
"Novo aplicativo paga mil reais por dia apenas caminhando",fake
"Nova vacina entra em fase final de testes",real
"Cientistas revelam que dinossauros vivem escondidos na Amazônia",fake
"Mercado financeiro fecha em alta nesta terça-feira",real
"Vacina causa magnetismo em humanos",fake
"Universidade realiza feira de profissões para estudantes",real
"Internet será substituída por tecnologia secreta em 2027",fake
"Prefeitura inicia obras de revitalização urbana",real
"Governo proibirá uso de dinheiro físico no próximo mês",fake
"Nova biblioteca pública será inaugurada no próximo mês",real
"Homem viveu 200 anos com dieta baseada em alho",fake
"Pesquisadores descobrem nova espécie marinha",real
"Pesquisadores afirmam que a Terra é plana",fake
"Brasil registra aumento na geração de energia solar",real
"Nova bebida energética aumenta QI em 50 pontos",fake
"Empresa anuncia contratação de novos funcionários",real
"NASA confirma contato oficial com extraterrestres",fake
"Operadora amplia cobertura de internet móvel",real
"Celular explode ao carregar durante chuva",fake
"Ministério anuncia investimentos em infraestrutura",real
"Tomar café elimina necessidade de dormir",fake
"Parque nacional recebe programa de preservação ambiental",real
"Descoberto portal secreto para outra dimensão na Antártida",fake
"Instituição oferece cursos gratuitos de tecnologia",real
"Cientistas criam pílula que substitui alimentação",fake
"Cientistas divulgam pesquisa sobre inteligência artificial",real
"Brasil mudará capital para outra cidade em segredo",fake
"Novo programa habitacional é lançado pelo governo",real
"Nova rede social consegue prever pensamentos dos usuários",fake
"Hospital promove campanha de doação de sangue",real
"Governo mundial começará em janeiro",fake
"Escolas municipais receberão reformas estruturais",real
"Vacinas causam controle mental coletivo",fake
"Banco lança novo aplicativo de pagamentos digitais",real
"Água da chuva cura doenças raras",fake
"Universidade promove congresso internacional de pesquisa",real
"Nova tecnologia permitirá viajar no tempo até 2030",fake
"Prefeitura amplia iluminação pública em bairros",real
"Pesquisadores comprovam que plantas falam entre si em português",fake
"Empresa apresenta relatório anual de crescimento",real
"Dinheiro deixará de existir até o próximo ano",fake
"Nova legislação sobre proteção de dados entra em vigor",real
"Estudo mostra que comer doces emagrece",fake
"Instituto nacional divulga dados sobre inflação",real
"Empresa promete carro movido a água infinita",fake
"Feira tecnológica reúne startups e investidores",real
"Nova teoria afirma que o Sol está esfriando rapidamente",fake
"Pesquisadores desenvolvem sistema sustentável de irrigação",real
"Satélite secreto monitora sonhos da população",fake
"Cidade inaugura novo centro esportivo",real
"Nova bactéria transforma plástico em ouro",fake
"Operação policial combate crimes cibernéticos",real
"Remédio natural elimina envelhecimento",fake
"Governo divulga plano nacional de segurança pública",real
"Descoberto continente escondido no centro da Terra",fake
"Programa de capacitação profissional abre inscrições",real
"Cientistas comprovam existência de dragões marinhos",fake
"Nova linha de ônibus começa a operar na capital",real
"Cometa invisível atingirá a Terra este mês",fake
"Hospital realiza mutirão de cirurgias eletivas",real
"Aplicativo identifica mentiras através da câmera frontal",fake
"Universidade publica edital para intercâmbio internacional",real
